,km_driven,insurance_prem,manufacturer,model,listed_price,car_seller,state,owner_type,car_age,top_features_count
314,73000.0,0,maruti,maruti wagon r,375000.0,1,maharashtra,2,9,9
315,51000.0,0,maruti,maruti eeco,550000.0,0,gujarat,1,4,8
316,90000.0,0,maruti,maruti wagon r,220000.0,0,gujarat,3,14,8
317,120000.0,0,maruti,maruti eeco,260000.0,0,gujarat,2,11,8
320,50000.0,0,hyundai,hyundai santro xing,130000.0,0,maharashtra,2,14,0
321,57945.0,0,maruti,maruti wagon r,265000.0,1,delhi,1,9,9
322,67000.0,0,hyundai,hyundai santro xing,200000.0,1,haryana,2,13,9
325,40000.0,0,maruti,maruti eeco,200000.0,0,uttar pradesh,2,14,9
326,171089.0,0,maruti,maruti ertiga,475000.0,1,maharashtra,1,10,9
327,99826.0,0,maruti,maruti wagon r,200000.0,1,maharashtra,2,14,8
328,148550.0,0,maruti,maruti celerio,300000.0,1,delhi,1,8,8
329,70000.0,0,hyundai,hyundai santro xing,120000.0,0,haryana,1,14,0
330,110000.0,0,maruti,maruti ertiga,400000.0,0,maharashtra,4,12,9
331,119011.0,0,maruti,maruti wagon r,235000.0,1,delhi,1,9,9
332,20000.0,0,tata,tata tigor,813403.0,0,uttar pradesh,1,3,9
335,60000.0,0,maruti,maruti wagon r,385000.0,1,maharashtra,2,9,8
336,100000.0,0,maruti,maruti omni,140000.0,0,gujarat,2,13,0
338,27000.0,0,maruti,maruti celerio,565000.0,1,maharashtra,1,6,8
339,30000.0,0,maruti,maruti wagon r,590000.0,0,uttar pradesh,1,4,8
341,150000.0,0,maruti,maruti wagon r,400000.0,0,tripura,1,10,9
342,50000.0,0,maruti,maruti wagon r,525000.0,0,uttar pradesh,1,4,8
343,120000.0,0,maruti,maruti wagon r,300000.0,0,tripura,2,11,9
345,31817.0,0,maruti,maruti wagon r,310000.0,1,maharashtra,1,13,8
346,100000.0,0,maruti,maruti wagon r,320000.0,0,uttar pradesh,1,7,9
348,38918.0,0,maruti,maruti wagon r,450000.0,1,maharashtra,1,9,9
350,90000.0,0,hyundai,hyundai santro xing,150000.0,0,uttar pradesh,3,13,0
351,50000.0,0,maruti,maruti omni,150000.0,0,uttar pradesh,1,13,0
353,90000.0,0,hyundai,hyundai santro xing,170000.0,0,gujarat,2,14,9
356,110000.0,0,maruti,maruti alto k10,250000.0,0,maharashtra,1,9,8
357,49000.0,0,maruti,maruti ertiga,700000.0,0,maharashtra,1,10,9
358,100000.0,0,maruti,maruti ertiga,625000.0,0,delhi,1,9,9
359,15000.0,0,hyundai,hyundai grand i10 nios,715000.0,0,uttar pradesh,1,3,9
361,37427.0,0,maruti,maruti wagon r,457000.0,1,delhi,1,5,8
362,17000.0,0,hyundai,hyundai aura,750000.0,0,haryana,1,4,9
363,70000.0,0,maruti,maruti wagon r,325000.0,0,uttar pradesh,2,8,9
364,94500.0,0,hyundai,hyundai santro xing,170000.0,0,haryana,2,14,0
365,44936.0,0,maruti,maruti zen estilo,185000.0,1,maharashtra,1,12,8
366,120000.0,0,hyundai,hyundai grand i10,450000.0,0,gujarat,1,8,8
367,80000.0,0,maruti,maruti wagon r,150000.0,0,punjab,2,15,8
369,40000.0,0,maruti,maruti wagon r,542000.0,0,uttar pradesh,1,4,8
370,100000.0,0,maruti,maruti sx4,210000.0,0,gujarat,3,15,9
371,20000.0,0,maruti,maruti swift dzire,850000.0,0,madhya pradesh,1,3,9
372,50000.0,0,maruti,maruti eeco,415000.0,0,himachal pradesh,1,6,8
373,120000.0,0,maruti,maruti wagon r,280000.0,0,dadra and nagar haveli,1,9,9
374,94000.0,0,maruti,maruti wagon r,260000.0,0,uttar pradesh,2,12,9
375,30000.0,0,maruti,maruti wagon r,540000.0,0,maharashtra,1,5,8
376,40000.0,0,maruti,maruti wagon r,360000.0,0,uttar pradesh,2,8,9
377,17265.0,0,maruti,maruti alto k10,415000.0,1,maharashtra,1,6,8
379,60000.0,0,maruti,maruti ertiga,950000.0,0,uttar pradesh,1,4,9
382,35000.0,0,maruti,maruti wagon r,500000.0,0,uttar pradesh,1,4,8
384,120000.0,0,maruti,maruti wagon r,125000.0,0,haryana,1,15,8
385,60000.0,0,maruti,maruti wagon r,370000.0,0,maharashtra,2,8,9
386,70000.0,0,maruti,maruti wagon r,250000.0,0,haryana,2,12,9
387,23250.0,0,maruti,maruti eeco,495000.0,0,maharashtra,1,6,8
388,5000.0,0,hyundai,hyundai grand i10 nios,775000.0,0,maharashtra,1,3,9
389,40000.0,0,hyundai,hyundai grand i10 nios,700000.0,0,uttar pradesh,1,4,9
390,58000.0,0,maruti,maruti wagon r,360000.0,0,uttar pradesh,1,10,9
391,76000.0,0,maruti,maruti wagon r,130000.0,0,haryana,4,15,8
392,73258.0,0,maruti,maruti wagon r,180000.0,1,telangana,1,13,8
393,9300.0,0,tata,tata tigor,830000.0,0,gujarat,1,3,9
394,62000.0,0,maruti,maruti wagon r,410000.0,1,haryana,1,7,8
395,30000.0,0,maruti,maruti s-presso,560000.0,0,uttar pradesh,1,4,9
396,80000.0,0,maruti,maruti wagon r,500000.0,0,uttar pradesh,1,6,8
397,70000.0,0,tata,tata indigo,230000.0,0,maharashtra,2,11,9
398,18700.0,0,maruti,maruti eeco,575000.0,0,maharashtra,2,4,8
401,20000.0,0,tata,tata tigor,850000.0,0,maharashtra,1,3,9
402,40000.0,0,maruti,maruti wagon r,580000.0,0,rajasthan,1,4,8
403,120000.0,0,maruti,maruti celerio,395000.0,0,maharashtra,1,6,8
404,100000.0,0,hyundai,hyundai santro xing,160000.0,0,gujarat,2,16,0
405,120000.0,0,maruti,maruti wagon r,270000.0,0,delhi,1,9,9
406,120000.0,0,maruti,maruti wagon r,360000.0,0,uttar pradesh,1,7,9
408,25000.0,0,maruti,maruti wagon r,550000.0,0,madhya pradesh,2,4,8
409,25000.0,0,maruti,maruti wagon r,673000.0,0,uttar pradesh,1,3,9
411,70000.0,0,hyundai,hyundai santro,465000.0,0,uttar pradesh,2,6,9
412,5000.0,0,maruti,maruti ertiga,1035590.0,0,uttar pradesh,1,3,9
413,110000.0,0,maruti,maruti swift dzire,450000.0,0,haryana,1,10,0
414,80000.0,0,maruti,maruti wagon r,300000.0,0,uttar pradesh,1,10,9
416,67653.0,0,maruti,maruti celerio,489000.0,1,maharashtra,1,6,8
418,5000.0,0,maruti,maruti ertiga,952228.0,0,rajasthan,1,3,9
419,85000.0,0,maruti,maruti ertiga,625000.0,0,maharashtra,1,10,9
420,7693.0,0,maruti,maruti ertiga,806928.0,1,maharashtra,1,8,9
421,120000.0,0,maruti,maruti wagon r,290000.0,0,maharashtra,2,7,9
422,78360.0,0,maruti,maruti wagon r,320000.0,0,uttar pradesh,3,9,9
423,60000.0,0,maruti,maruti celerio,435000.0,0,maharashtra,1,6,8
425,50000.0,0,maruti,maruti wagon r,600000.0,0,rajasthan,1,4,8
427,60000.0,0,maruti,maruti wagon r,560000.0,0,haryana,2,5,8
428,16000.0,0,hyundai,hyundai aura,734999.0,1,maharashtra,1,4,9
429,70000.0,0,maruti,maruti wagon r,280000.0,0,uttar pradesh,1,11,9
430,30000.0,0,hyundai,hyundai grand i10 nios,700000.0,0,gujarat,1,4,9
